0,Unnamed: 1,50,50.1,50.1.1,100,20,30,31,32,33,35,40,43,45,47,50.1.1.1,200,20.1,30.1,36,37,38,39,40.1,41,43.1,45.1,47.1,31.1,32.1,50.1.1.1.1,100.1,200.1,33.1,34,35.1,30.1.1,31.1.1,32.1.1,33.1.1,34.1,35.1.1,36.1,37.1,38.1,39.1,40.1.1,43.1.1,45.1.1,47.1.1,100.1.1,200.1.1,20.1.1,34.1.1,36.1.1,37.1.1,38.1.1,39.1.1,30.1.1.1,30.1.1.1.1,31.1.1.1,36.1.1.1,37.1.1.1,38.1.1.1,39.1.1.1,40.1.1.1,43.1.1.1,45.1.1.1,47.1.1.1,50.1.1.1.1.1,100.1.1.1,200.1.1.1,20.1.1.1,31.1.1.1.1,32.1.1.1,20.1.1.1.1,33.1.1.1,34.1.1.1,35.1.1.1,36.1.1.1.1,37.1.1.1.1,38.1.1.1.1,39.1.1.1.1,40.1.1.1.1,43.1.1.1.1,45.1.1.1.1,201,202,203,47
,,567.0,10591.0,937.0,100.0,,,,,2661.0,4723.0,572.0,671.0,806.0,537,1173.0,199.0,,,1467.0,2551.0,1940.0,1530.0,668.0,1276.0,3322.0,3120.0,1371.0,,12996.0,2116.0,2087.0,298.0,4417.0,2986.0,3549.0,,,,4215.0,1318.0,9534.0,2173.0,1037.0,837.0,12590.0,10358.0,1103.0,1139.0,1203.0,102.0,7419.0,,7688.0,3169.0,7850.0,,1200.0,,,,2436.0,11251.0,3166.0,2216.0,765.0,608.0,569.0,2414.0,1208.0,1000.0,1166.0,,,,,2762.0,4611.0,1173.0,1513.0,1549.0,942.0,670.0,4161.0,2150.0,1034.0,434.0,,1077.0,1718.0
,,500.0,10526.0,869.0,102.0,,,,,2659.0,4693.0,534.0,609.0,767.0,472,1106.0,201.0,,,1468.0,2549.0,1907.0,1530.0,636.0,1241.0,3287.0,3054.0,1302.0,,15311.0,2046.0,1948.0,133.0,6263.0,2987.0,3515.0,,,,4217.0,1316.0,9504.0,2142.0,1037.0,805.0,12586.0,10387.0,1037.0,1076.0,1136.0,99.0,7250.0,,7721.0,3167.0,7853.0,,1201.0,,,,2436.0,11285.0,3132.0,2182.0,733.0,573.0,537.0,2381.0,1143.0,866.0,999.0,,,,,2758.0,4611.0,1140.0,1510.0,1510.0,938.0,638.0,4130.0,2116.0,968.0,367.0,,908.0,1683.0
,,432.0,10492.0,802.0,100.0,,,,,2663.0,4691.0,501.0,573.0,701.0,402,1038.0,199.0,,,1437.0,2515.0,1906.0,1498.0,602.0,1206.0,3217.0,3019.0,1235.0,,17960.0,1979.0,1815.0,200.0,6832.0,2986.0,3518.0,,,,4218.0,1306.0,9534.0,2142.0,1007.0,802.0,12586.0,10353.0,1002.0,1008.0,1068.0,101.0,7083.0,,7756.0,3162.0,7821.0,,1167.0,,,,2405.0,11286.0,3099.0,2149.0,701.0,537.0,468.0,2315.0,1073.0,734.0,834.0,,,,,2761.0,4611.0,1130.0,1476.0,1511.0,905.0,609.0,4126.0,2079.0,939.0,301.0,,742.0,1617.0
,,366.0,10459.0,734.0,100.0,,,,,2665.0,4691.0,474.0,537.0,661.0,371,969.0,202.0,,,1438.0,2481.0,1874.0,1467.0,569.0,1154.0,3183.0,2952.0,1167.0,,20712.0,1912.0,1681.0,200.0,7066.0,2985.0,3519.0,,,,4219.0,,9568.0,2108.0,977.0,768.0,12586.0,10352.0,967.0,971.0,1004.0,101.0,6919.0,,7788.0,3129.0,7855.0,,1133.0,,,,2405.0,11289.0,3070.0,2110.0,665.0,466.0,438.0,2249.0,1008.0,602.0,666.0,,,,,2761.0,4609.0,1139.0,1477.0,1475.0,867.0,575.0,4123.0,2011.0,873.0,233.0,,570.0,1549.0
,,300.0,10428.0,632.0,100.0,,,,,2682.0,4656.0,435.0,468.0,596.0,304,903.0,199.0,,,1408.0,2484.0,1843.0,1430.0,535.0,1104.0,3153.0,2916.0,1132.0,,24979.0,1844.0,1546.0,201.0,7567.0,2986.0,3482.0,,,,4219.0,,,2105.0,977.0,736.0,12590.0,10383.0,902.0,904.0,939.0,101.0,6750.0,,7823.0,3129.0,7888.0,,1100.0,,,,2368.0,11324.0,3068.0,2077.0,634.0,433.0,368.0,2183.0,941.0,467.0,501.0,,,,,2759.0,4615.0,1104.0,1442.0,1469.0,838.0,542.0,4094.0,1975.0,837.0,166.0,,402.0,1482.0
,,232.0,10396.0,567.0,100.0,,,,,2666.0,4658.0,403.0,434.0,569.0,235,835.0,199.0,,,1414.0,2450.0,1808.0,1400.0,499.0,1073.0,3084.0,2845.0,1067.0,,,1781.0,1413.0,202.0,9045.0,2983.0,3479.0,,,,4218.0,,,2072.0,943.0,702.0,12587.0,10349.0,870.0,871.0,907.0,102.0,6619.0,,7859.0,3096.0,7889.0,,1068.0,,,,2364.0,11323.0,3037.0,2081.0,598.0,367.0,303.0,2146.0,869.0,335.0,333.0,,,,,2764.0,4616.0,1102.0,1441.0,1436.0,840.0,536.0,4096.0,1945.0,771.0,100.0,,234.0,1448.0
,,166.0,10364.0,501.0,100.0,,,,,2733.0,4660.0,370.0,400.0,501.0,165,770.0,199.0,,,1378.0,2449.0,1811.0,1366.0,464.0,1040.0,3048.0,2779.0,1003.0,,,1712.0,1277.0,200.0,9645.0,2950.0,3483.0,,,,4213.0,,,2069.0,941.0,669.0,12589.0,10378.0,799.0,804.0,839.0,100.0,6449.0,,7859.0,3094.0,7888.0,,1035.0,,,,2332.0,11324.0,3004.0,2043.0,534.0,332.0,265.0,2078.0,800.0,202.0,167.0,,,,,2764.0,4583.0,1103.0,1407.0,1400.0,806.0,501.0,4097.0,1877.0,703.0,51.0,,66.0,1377.0
,,100.0,10328.0,433.0,101.0,,,,,2767.0,4625.0,334.0,333.0,436.0,134,702.0,200.0,,,1378.0,2415.0,1775.0,1330.0,434.0,1007.0,2978.0,2746.0,942.0,,,1644.0,1146.0,201.0,10417.0,2955.0,3490.0,,,,4513.0,,,2039.0,906.0,666.0,12589.0,10344.0,768.0,736.0,771.0,99.0,6281.0,,7892.0,3059.0,7925.0,,1001.0,,,,2331.0,,2971.0,2048.0,501.0,299.0,201.0,2013.0,735.0,83.0,200.0,,,,,2765.0,4581.0,1075.0,1406.0,1403.0,771.0,468.0,4132.0,1840.0,668.0,50.0,,201.0,1311.0
,,34.0,10260.0,364.0,99.0,,,,,2804.0,4622.0,301.0,304.0,398.0,65,633.0,200.0,,,1348.0,2379.0,1743.0,1299.0,407.0,976.0,2942.0,2680.0,905.0,,,1573.0,1011.0,200.0,10451.0,2951.0,3455.0,,,,4848.0,,,2039.0,872.0,631.0,12558.0,10343.0,734.0,704.0,700.0,100.0,6114.0,,7924.0,3061.0,7922.0,,967.0,,,,2296.0,,2943.0,2049.0,470.0,229.0,168.0,1946.0,665.0,101.0,201.0,,,,,2831.0,4580.0,1072.0,1376.0,1373.0,735.0,431.0,4131.0,1772.0,601.0,49.0,,203.0,1240.0
,,51.0,10226.0,298.0,100.0,,,,,2837.0,4661.0,268.0,271.0,335.0,48,565.0,200.0,,,1341.0,2379.0,1710.0,1269.0,368.0,941.0,2906.0,2645.0,845.0,,,1503.0,873.0,202.0,10713.0,2949.0,3457.0,,,,5387.0,,,2003.0,870.0,597.0,12624.0,10343.0,669.0,633.0,667.0,100.0,5979.0,,7990.0,3027.0,7922.0,,937.0,,,,2297.0,,2903.0,2045.0,433.0,201.0,102.0,1913.0,599.0,100.0,199.0,,,,,2833.0,,1077.0,1376.0,1340.0,737.0,402.0,4096.0,1740.0,534.0,50.0,,199.0,1208.0
