0,Unnamed: 1,20,30,31,32,33,34,35,36,37,38,39,40,43,45,50,100,200,47,31.1,32.1,33.1,34.1,35.1,36.1,37.1,38.1,100.1,39.1,40.1,41,42,43.1,45.1,47.1,50.1,200.1,30.1,30.1.1,20.1,50.1.1,100.1.1,45.1.1,47.1.1,20.1.1,200.1.1,50.1.1.1,30.1.1.1,31.1.1,32.1.1,33.1.1,34.1.1,35.1.1,36.1.1,37.1.1,38.1.1,39.1.1,40.1.1,41.1,42.1,43.1.1,30.1.1.1.1,31.1.1.1,32.1.1.1,33.1.1.1,34.1.1.1,35.1.1.1,36.1.1.1,37.1.1.1,38.1.1.1,39.1.1.1,40.1.1.1,41.1.1,42.1.1,43.1.1.1,100.1.1.1,20.1.1.1,200.1.1.1,45.1.1.1,47.1.1.1,50.1.1.1.1,20.1.1.1.1,50.1.1.1.1.1,50.1.1.1.1.1.1,30.1.1.1.1.1,31.1.1.1.1,32.1.1.1.1,33.1.1.1.1,34.1.1.1.1,35.1.1.1.1,36.1.1.1.1,37.1.1.1.1,38.1.1.1.1,39.1.1.1.1,40.1.1.1.1,43.1.1.1.1,45.1.1.1.1,50.1.1.1.1.1.1.1,47.1.1.1.1,100.1.1.1.1,200
,,,,774.0,7574.0,1979.0,36.0,1474.0,,8648.0,6795.0,10221.0,12498.0,3636.0,8277.0,,2935.0,202.0,47.0,34.0,243.0,37.0,37.0,36.0,39.0,40.0,42.0,,41.0,2899.0,42.0,46.0,46.0,,51.0,52.0,,2864.0,,,,710.0,47.0,53.0,,5371.0,2478.0,,,2007.0,,1341.0,5636.0,,40.0,44.0,293.0,398.0,44.0,,319.0,4096.0,,245.0,4655.0,4151.0,38.0,38.0,39.0,,40.0,2982.0,309.0,,47.0,2466.0,,571.0,47.0,51.0,3877.0,,33.0,,,34.0,37.0,35.0,37.0,36.0,132.0,38.0,41,41.0,41.0,47.0,48.0,49.0,50.0,103.0,204.0
,,,,2049.0,9754.0,1980.0,33.0,1440.0,,8649.0,6797.0,10221.0,12498.0,3633.0,8277.0,,2834.0,,49.0,33.0,243.0,38.0,37.0,35.0,40.0,42.0,40.0,,41.0,2930.0,,47.0,48.0,,48.0,52.0,,5574.0,,,,708.0,49.0,49.0,,5204.0,2378.0,,,2008.0,,1306.0,5635.0,,38.0,41.0,287.0,366.0,45.0,,321.0,4128.0,,242.0,4655.0,4154.0,37.0,40.0,43.0,,41.0,2986.0,305.0,,47.0,2333.0,,404.0,49.0,50.0,,,39.0,,,33.0,35.0,36.0,38.0,35.0,99.0,37.0,39,42.0,44.0,46.0,47.0,50.0,49.0,102.0,203.0
,,,,3958.0,10358.0,1982.0,35.0,1439.0,,8684.0,,10425.0,12494.0,3634.0,8244.0,,2699.0,,49.0,33.0,243.0,35.0,37.0,36.0,36.0,38.0,41.0,,43.0,2895.0,,45.0,45.0,,50.0,50.0,,5805.0,,,,717.0,47.0,51.0,,5039.0,2311.0,,,2008.0,,1303.0,5671.0,,39.0,38.0,282.0,303.0,40.0,,319.0,4163.0,,239.0,4691.0,4154.0,37.0,39.0,41.0,,40.0,2985.0,305.0,,44.0,2197.0,,251.0,46.0,49.0,,,34.0,,,34.0,34.0,37.0,37.0,35.0,97.0,39.0,40,42.0,43.0,46.0,46.0,51.0,50.0,103.0,203.0
,,,,7007.0,11399.0,1980.0,36.0,1436.0,,8683.0,,10429.0,12496.0,3602.0,8946.0,,2602.0,,48.0,32.0,245.0,36.0,38.0,36.0,39.0,40.0,40.0,,42.0,2858.0,,45.0,45.0,,49.0,53.0,,6312.0,,,,711.0,48.0,50.0,,4873.0,2248.0,,,2042.0,,1305.0,5673.0,,40.0,38.0,285.0,269.0,44.0,,318.0,4996.0,,248.0,4724.0,4157.0,38.0,38.0,39.0,,43.0,2955.0,306.0,,46.0,2098.0,,1274.0,48.0,50.0,,,33.0,,,35.0,35.0,35.0,39.0,38.0,67.0,39.0,39,40.0,44.0,45.0,47.0,53.0,49.0,103.0,201.0
,,,,10393.0,11967.0,1976.0,37.0,1406.0,,8685.0,,10459.0,12528.0,3602.0,8912.0,,2471.0,,33.0,34.0,240.0,38.0,38.0,35.0,39.0,40.0,42.0,,42.0,2863.0,,45.0,46.0,,50.0,,,6648.0,,,,715.0,51.0,50.0,,4741.0,2181.0,,,2075.0,,1265.0,5707.0,,38.0,43.0,291.0,233.0,42.0,,317.0,5564.0,,244.0,4723.0,4191.0,37.0,41.0,39.0,,43.0,2922.0,427.0,,45.0,1965.0,,1420.0,50.0,48.0,,,34.0,,,34.0,35.0,36.0,35.0,37.0,33.0,36.0,41,42.0,39.0,45.0,50.0,53.0,50.0,104.0,201.0
,,,,12674.0,12071.0,1975.0,36.0,1403.0,,8682.0,,10429.0,12492.0,3536.0,8914.0,,2336.0,,50.0,33.0,243.0,35.0,36.0,38.0,39.0,37.0,41.0,,44.0,,,45.0,43.0,,48.0,,,6981.0,,,,817.0,45.0,47.0,,4574.0,2111.0,,,2107.0,,1271.0,5709.0,,38.0,38.0,289.0,202.0,42.0,,317.0,5935.0,,255.0,4759.0,,37.0,37.0,39.0,,41.0,2957.0,301.0,,46.0,1801.0,,1419.0,46.0,49.0,,,34.0,,,34.0,33.0,38.0,37.0,37.0,35.0,39.0,39,45.0,41.0,46.0,48.0,53.0,50.0,104.0,204.0
,,,,,,1976.0,27.0,1372.0,,8717.0,,12075.0,12491.0,3569.0,8883.0,,2235.0,,50.0,34.0,244.0,34.0,37.0,36.0,33.0,39.0,41.0,,42.0,,,44.0,45.0,,50.0,,,7284.0,,,,716.0,48.0,45.0,,4405.0,2014.0,,,2142.0,,1238.0,5743.0,,39.0,,283.0,167.0,44.0,,317.0,6272.0,,243.0,4831.0,,38.0,37.0,42.0,,40.0,2891.0,301.0,,46.0,1700.0,,1419.0,49.0,48.0,,,36.0,,,34.0,35.0,35.0,37.0,38.0,38.0,38.0,42,42.0,42.0,49.0,48.0,57.0,50.0,102.0,202.0
,,,,,,1946.0,35.0,1371.0,,8720.0,,,13125.0,3500.0,8848.0,,2067.0,,47.0,33.0,245.0,35.0,36.0,37.0,37.0,40.0,39.0,,40.0,,,45.0,110.0,,49.0,,,7517.0,,,,720.0,48.0,49.0,,4243.0,1947.0,,,2210.0,,1240.0,5740.0,,37.0,,279.0,100.0,44.0,,323.0,7813.0,,236.0,4830.0,,39.0,38.0,39.0,,41.0,2889.0,306.0,,47.0,1566.0,,1415.0,47.0,50.0,,,33.0,,,33.0,35.0,37.0,37.0,39.0,36.0,38.0,40,43.0,43.0,45.0,47.0,52.0,50.0,104.0,201.0
,,,,,,1950.0,35.0,1341.0,,8722.0,,,13550.0,3535.0,8848.0,,1934.0,,49.0,35.0,247.0,36.0,39.0,38.0,38.0,39.0,43.0,,42.0,,,44.0,47.0,,52.0,,,8640.0,,,,721.0,48.0,50.0,,4077.0,1879.0,,,2212.0,,1241.0,5778.0,,39.0,,,69.0,43.0,,315.0,8314.0,,243.0,4866.0,,37.0,40.0,41.0,,43.0,2885.0,310.0,,47.0,1434.0,,1419.0,47.0,50.0,,,34.0,,,33.0,34.0,40.0,36.0,38.0,36.0,37.0,41,41.0,42.0,47.0,45.0,53.0,49.0,105.0,204.0
,,,,,,1951.0,36.0,1339.0,,8754.0,,,13551.0,3467.0,10317.0,,1832.0,,48.0,32.0,242.0,37.0,37.0,36.0,42.0,41.0,39.0,,42.0,,,45.0,44.0,,51.0,,,8688.0,,,,720.0,47.0,48.0,,3943.0,1809.0,,,2275.0,,1208.0,5773.0,,39.0,,,34.0,42.0,,317.0,8747.0,,255.0,4929.0,,38.0,37.0,40.0,,41.0,2854.0,305.0,,45.0,1335.0,,,48.0,49.0,,,34.0,,,35.0,37.0,37.0,37.0,36.0,40.0,36.0,42,42.0,43.0,46.0,46.0,53.0,49.0,101.0,203.0
,,,,,,1946.0,35.0,1307.0,,8752.0,,,13549.0,3466.0,10316.0,,1702.0,,50.0,34.0,239.0,34.0,38.0,35.0,39.0,41.0,41.0,,42.0,,,46.0,45.0,,49.0,,,8757.0,,,,719.0,46.0,53.0,,3777.0,1741.0,,,2311.0,,1210.0,,,39.0,,,43.0,43.0,,318.0,9480.0,,416.0,10128.0,,38.0,35.0,40.0,,40.0,2855.0,305.0,,45.0,1202.0,,,47.0,48.0,,,33.0,,,34.0,33.0,34.0,35.0,36.0,37.0,38.0,38,39.0,39.0,46.0,47.0,51.0,50.0,101.0,204.0
,,,,,,1944.0,36.0,1272.0,,8758.0,,,13548.0,3434.0,10281.0,,1598.0,,50.0,34.0,244.0,38.0,36.0,36.0,37.0,49.0,39.0,,41.0,,,44.0,45.0,,51.0,,,8824.0,,,,717.0,48.0,51.0,,3576.0,1672.0,,,2677.0,,1244.0,,,38.0,,,40.0,41.0,,321.0,9778.0,,1978.0,12650.0,,38.0,35.0,39.0,,41.0,2885.0,,,44.0,1070.0,,,47.0,51.0,,,33.0,,,35.0,35.0,36.0,38.0,38.0,38.0,35.0,41,42.0,42.0,43.0,46.0,54.0,48.0,103.0,
,,,,,,1978.0,35.0,1273.0,,8757.0,,,13848.0,3432.0,12285.0,,1464.0,,47.0,33.0,243.0,36.0,34.0,37.0,37.0,41.0,40.0,,42.0,,,45.0,46.0,,49.0,,,8918.0,,,,718.0,48.0,51.0,,3409.0,1571.0,,,2676.0,,1244.0,,,39.0,,,41.0,42.0,,317.0,10119.0,,5334.0,13789.0,,38.0,38.0,40.0,,42.0,,,,45.0,903.0,,,77.0,50.0,,,,,,33.0,34.0,35.0,36.0,37.0,37.0,38.0,40,41.0,43.0,48.0,50.0,52.0,49.0,102.0,
,,,,,,2013.0,36.0,1238.0,,8790.0,,,13782.0,4934.0,12218.0,,1331.0,,51.0,33.0,245.0,33.0,35.0,35.0,40.0,39.0,40.0,,43.0,,,42.0,48.0,,49.0,,,8990.0,,,,718.0,47.0,47.0,,3211.0,1499.0,,,3924.0,,1274.0,,,38.0,,,42.0,44.0,,323.0,,,,14958.0,,38.0,38.0,42.0,,,,,,47.0,738.0,,,49.0,,,,,,,35.0,36.0,34.0,37.0,39.0,37.0,39.0,42,41.0,42.0,32.0,48.0,49.0,50.0,103.0,
